G,R,AB,H,2B,3B,HR,BB,SO,SB,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,mlb_rpg,era_1,era_2,era_3,era_4,era_5,era_6,era_7,era_8,decade_1910,decade_1920,decade_1930,decade_1940,decade_1950,decade_1960,decade_1970,decade_1980,decade_1990,decade_2000,decade_2010,ID
157,588,5221,1340,199,57,110,383,752.0,24,653,572,3.74,37,8,24,4128,1406,142,469,662,162,140.0,0.973,4.451573849878935,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1756
161,707,5417,1353,215,40,167,597,840.0,47,778,681,4.28,49,14,23,4296,1415,163,570,914,174,150.0,0.971,4.525174825174825,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1282
162,743,5494,1381,234,37,197,658,923.0,41,736,639,3.92,30,7,41,4398,1423,155,685,935,157,178.0,0.975,4.07245632065776,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,351
156,828,5451,1578,340,66,84,577,641.0,49,710,611,3.97,80,8,8,4155,1448,54,524,541,169,141.0,0.973,4.810679611650485,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,421
162,818,5595,1494,284,35,208,587,1052.0,71,677,627,3.87,12,13,34,4379,1352,195,461,1297,84,148.0,0.986,4.7754219843557015,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,57
161,691,5494,1383,195,25,160,542,1018.0,80,564,498,3.05,57,18,36,4407,1229,131,501,999,117,157.0,0.981,3.8888028895768834,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1557
162,845,5614,1544,318,47,204,494,1330.0,66,860,779,4.91,2,9,37,4288,1532,181,547,1223,110,148.0,0.982,4.477759472817134,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,846
162,696,5607,1448,224,49,117,510,969.0,56,640,579,3.57,52,15,23,4377,1439,137,412,928,113,147.0,0.982,3.9938080495356036,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1658
154,721,5441,1453,229,25,101,520,510.0,82,728,624,4.04,57,7,13,4173,1474,99,557,404,193,160.0,0.969,4.206225680933852,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,112
162,737,5527,1490,252,56,96,489,823.0,134,688,612,3.81,26,10,31,4338,1420,139,532,768,139,174.0,0.978,4.470518307180218,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,2075
154,540,5190,1268,192,45,145,402,659.0,67,650,579,3.78,31,9,28,4134,1287,144,551,765,144,143.0,0.976,4.451573849878935,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1946
161,649,5514,1404,295,27,122,502,1240.0,75,779,725,4.51,1,9,39,4343,1414,177,547,1227,101,134.0,0.983,4.477759472817134,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,180
153,738,5314,1460,262,42,74,580,405.0,46,750,662,4.38,80,8,8,4080,1443,105,574,436,145,133.0,0.976,4.86468952734013,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,533
155,643,5481,1458,270,50,70,512,593.0,48,677,575,3.65,48,7,18,4257,1428,40,621,524,164,192.0,0.974,4.167874396135265,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,756
